year,month,day,stop_was_initiated,issuing_officer_rank,observed_duration_minutes,suspected_crime_description,stop_duration_minutes,officer_explained_stop_flag,suspect_arrested_flag,summons_issued_flag,officer_in_uniform_flag,frisked_flag,searched_flag,weapon_found_flag,suspect_reported_age,suspect_sex,suspect_race_description,suspect_height,suspect_weight,suspect_body_build_type,suspect_eye_color,suspect_hair_color,stop_location_x,stop_location_y,stop_location_boro_name,seconds
2020,January,Sunday,Based on Radio Run,POM,1,BURGLARY,6,Y,N,0,N,Y,N,N,24.0,MALE,WHITE HISPANIC,54.0,150.0,THN,BRO,BLK,1019137,212847,QUEENS,9720.0
2020,January,Sunday,Based on Radio Run,POM,1,ROBBERY,7,Y,N,0,N,Y,N,N,36.0,MALE,WHITE HISPANIC,58.0,180.0,MED,BRO,BLK,1021542,213647,QUEENS,10920.0
2020,January,Sunday,Based on Radio Run,POM,1,ROBBERY,8,Y,N,0,N,Y,N,N,24.0,MALE,WHITE HISPANIC,55.0,150.0,THN,BRO,BLK,1021542,213647,QUEENS,10920.0
2020,January,Sunday,Based on Radio Run,POM,1,ROBBERY,8,Y,N,0,N,Y,N,N,20.0,MALE,WHITE HISPANIC,57.0,165.0,THN,BRO,BLK,1021542,213647,QUEENS,10920.0
2020,January,Sunday,Based on Radio Run,POM,1,ROBBERY,7,Y,N,0,N,Y,N,N,26.0,MALE,WHITE HISPANIC,58.0,180.0,MED,BRO,BLK,1021542,213647,QUEENS,10920.0
2020,January,Sunday,Based on Radio Run,POM,1,ROBBERY,8,Y,N,0,N,Y,N,N,32.0,MALE,WHITE HISPANIC,57.0,150.0,THN,BRO,BLK,1021542,213647,QUEENS,10920.0
2020,January,Sunday,Based on Radio Run,POM,1,ROBBERY,7,Y,N,0,N,Y,N,N,17.0,MALE,WHITE HISPANIC,58.0,175.0,THN,BRO,BLK,1021542,213647,QUEENS,10920.0
2020,January,Thursday,Based on Radio Run,POM,48,ROBBERY,20,Y,Y,0,N,N,Y,N,24.0,MALE,BLACK,55.0,150.0,THN,BRO,BLK,985393,208400,MANHATTAN,56280.0
2020,January,Sunday,Based on Self Initiated,POM,1,Other,5,Y,Y,0,Y,Y,N,N,33.0,FEMALE,BLACK,58.0,255.0,Other,BRO,BLK,1010080,258236,BRONX,28800.0
2020,January,Saturday,Based on Radio Run,POM,1,ASSAULT,16,Y,Y,0,Y,N,Y,N,31.0,MALE,WHITE HISPANIC,61.0,170.0,MED,BRO,Other,1014555,256439,BRONX,31620.000000000004
2020,January,Sunday,Based on C/W on Scene,POM,2,ASSAULT,1,Y,N,0,Y,N,N,N,0.0,MALE,BLACK,61.0,210.0,MED,BRO,BLK,985629,147694,BROOKLYN,53400.0
2020,January,Thursday,Based on Radio Run,POM,0,Other,5,Y,N,0,Y,Y,N,N,37.0,MALE,BLACK,57.0,180.0,Other,BRO,BLK,991539,192482,BROOKLYN,63480.00000000001
2020,January,Thursday,Based on Radio Run,POM,0,Other,5,Y,N,0,Y,Y,N,N,26.0,MALE,BLACK,63.0,290.0,Other,BRO,BLK,991539,192482,BROOKLYN,63480.00000000001
2020,January,Sunday,Based on Radio Run,POM,1,ASSAULT,9,Y,Y,0,Y,N,Y,N,31.0,MALE,BLACK,61.0,200.0,Other,BRO,BLK,1047206,218088,QUEENS,4260.0
2020,January,Sunday,Based on Radio Run,POM,2,ROBBERY,5,Y,N,0,N,N,N,N,24.0,MALE,WHITE HISPANIC,59.0,155.0,THN,BRO,BLK,987744,200974,MANHATTAN,48120.0
2020,January,Sunday,Based on Radio Run,POM,1926,LARCENY,15,Y,N,0,Y,N,N,N,30.0,MALE,WHITE HISPANIC,55.0,155.0,MED,Other,BLK,996586,223425,MANHATTAN,70020.0
2020,January,Sunday,Based on Radio Run,POM,1,LARCENY,4,Y,Y,0,Y,Y,N,N,34.0,MALE,WHITE,55.0,150.0,MED,BRO,Other,1036790,205267,QUEENS,70920.0
2020,January,Wednesday,Based on Self Initiated,POM,0,Other,18,Y,N,0,Y,Y,Y,Y,21.0,MALE,BLACK,57.0,160.0,THN,BRO,BLK,994923,223539,MANHATTAN,79980.0
2020,January,Monday,Based on Radio Run,POM,1,BURGLARY,13,Y,N,0,Y,N,N,N,27.0,MALE,WHITE,511.0,170.0,THN,BRO,BLK,986183,192239,BROOKLYN,12540.0
2020,January,Saturday,Based on Radio Run,POM,1,Other,14,Y,Y,0,Y,Y,Y,N,16.0,MALE,WHITE HISPANIC,6.0,175.0,MED,BRO,BLK,993702,191516,BROOKLYN,8100.000000000001
2020,January,Saturday,Based on Radio Run,POM,0,Other,20,Y,Y,0,Y,Y,Y,N,18.0,MALE,BLACK,54.0,120.0,THN,BRO,BLK,993646,190860,BROOKLYN,7620.000000000001
2020,January,Sunday,Based on Radio Run,POM,0,ROBBERY,10,Y,N,0,Y,Y,N,N,14.0,MALE,BLACK HISPANIC,55.0,130.0,THN,BRO,BLK,988368,222943,MANHATTAN,59700.00000000001
2020,January,Thursday,Based on Self Initiated,POM,5,Other,5,Y,N,1,Y,N,Y,N,22.0,MALE,BLACK,51.0,165.0,MED,BRO,BLK,1007687,246038,BRONX,79680.0
